序号,门类、专业类,专业代码,专业名称,"学位授予门类",修业年限,"增设年度"
1,哲学类,010101,哲学,哲学,四年,
2,哲学类,010102,逻辑学,哲学,四年,
3,哲学类,010103K,宗教学,哲学,四年,
4,哲学类,010104T,伦理学,哲学,四年,
5,经济学类,020101,经济学,经济学,四年,
6,经济学类,020102,经济统计学,经济学,四年,
7,经济学类,020103T,国民经济管理,经济学,四年,
8,经济学类,020104T,资源与环境经济学,经济学,四年,
9,经济学类,020105T,商务经济学,经济学,四年,
10,经济学类,020106T,能源经济,经济学,四年,
11,经济学类,020107T,劳动经济学,经济学,四年,2016
12,经济学类,020108T,经济工程,经济学,四年,2017
13,经济学类,020109T,数字经济,经济学,四年,2018
14,财政学类,020201K,财政学,经济学,四年,
15,财政学类,020202,税收学,经济学,四年,
16,财政学类,020203TK,国际税收,经济学,四年,2021
17,金融学类,020301K,金融学,经济学,四年,
18,金融学类,020302,金融工程,经济学,四年,
19,金融学类,020303,保险学,经济学,四年,
20,金融学类,020304,投资学,经济学,四年,
21,金融学类,020305T,金融数学,经济学,四年,
22,金融学类,020306T,信用管理,"管理学,经济学",四年,
23,金融学类,020307T,经济与金融,经济学,四年,
24,金融学类,020308T,精算学,"理学,经济学",四年,2015
25,金融学类,020309T,互联网金融,经济学,四年,2016
26,金融学类,020310T,金融科技,经济学,四年,2017
27,金融学类,020311TK,金融审计,经济学,四年,2022
28,经济与贸易类,020401,国际经济与贸易,经济学,四年,
29,经济与贸易类,020402,贸易经济,经济学,四年,
30,经济与贸易类,020403T,国际经济发展合作,经济学,四年,2021
31,法学类,030101K,法学,法学,四年,
32,法学类,030102T,知识产权,法学,四年,
33,法学类,030103T,监狱学,法学,四年,
34,法学类,030104T,信用风险管理与法律防控,法学,四年,2017
35,法学类,030105T,国际经贸规则,法学,四年,2017
36,法学类,030106TK,司法警察学,法学,四年,2018
37,法学类,030107TK,社区矫正,法学,四年,2018
38,法学类,030108TK,纪检监察,法学,四年,2021
39,法学类,030109TK,国际法,法学,四年,2022
40,法学类,030110TK,司法鉴定学,法学,四年,2022
41,政治学类,030201,政治学与行政学,法学,四年,
42,政治学类,030202,国际政治,法学,四年,
43,政治学类,030203,外交学,法学,四年,
44,政治学类,030204T,国际事务与国际关系,法学,四年,
45,政治学类,030205T,政治学、经济学与哲学,法学,四年,
46,政治学类,030206TK,国际组织与全球治理,法学,四年,2018
47,社会学类,030301,社会学,法学,四年,
48,社会学类,030302,社会工作,法学,四年,
49,社会学类,030303T,人类学,法学,四年,
50,社会学类,030304T,女性学,法学,四年,
51,社会学类,030305T,家政学,法学,四年,
52,社会学类,030306T,老年学,法学,四年,2019
53,社会学类,030307T,社会政策,法学,四年,2020
54,民族学类,030401,民族学,法学,四年,
55,马克思主义理论类,030501,科学社会主义,法学,四年,
56,马克思主义理论类,030502,中国共产党历史,法学,四年,
57,马克思主义理论类,030503,思想政治教育,法学,四年,
58,马克思主义理论类,030504T,马克思主义理论,法学,四年,2017
59,马克思主义理论类,030505TK,工会学,法学,四年,2022
60,公安学类,030601K,治安学,法学,四年,
61,公安学类,030602K,侦查学,法学,四年,
62,公安学类,030603K,边防管理,法学,四年,
63,公安学类,030604TK,禁毒学,法学,四年,
64,公安学类,030605TK,警犬技术,法学,四年,
65,公安学类,030606TK,经济犯罪侦查,法学,四年,
66,公安学类,030607TK,边防指挥,法学,四年,
67,公安学类,030608TK,消防指挥,法学,四年,
68,公安学类,030609TK,警卫学,法学,四年,
69,公安学类,030610TK,公安情报学,法学,四年,
70,公安学类,030611TK,犯罪学,法学,四年,
71,公安学类,030612TK,公安管理学,法学,四年,
72,公安学类,030613TK,涉外警务,法学,四年,
73,公安学类,030614TK,国内安全保卫,法学,四年,
74,公安学类,030615TK,警务指挥与战术,法学,四年,
75,公安学类,030616TK,技术侦查学,法学,四年,2016
76,公安学类,030617TK,海警执法,法学,四年,2016
77,公安学类,030618TK,公安政治工作,法学,四年,2018
78,公安学类,030619TK,移民管理,法学,四年,2018
79,公安学类,030620TK,出入境管理,法学,四年,2018
80,公安学类,030621TK,反恐警务,法学,四年,2020
81,公安学类,030622TK,消防政治工作,法学,四年,2020
82,公安学类,030623TK,铁路警务,法学,四年,2021
83,教育学类,040101,教育学,教育学,四年,
84,教育学类,040102,科学教育,教育学,四年,
85,教育学类,040103,人文教育,教育学,四年,
86,教育学类,040104,教育技术学,"工学,理学,教育学",四年,
87,教育学类,040105,艺术教育,"艺术学,教育学",四年,
88,教育学类,040106,学前教育,教育学,四年,
89,教育学类,040107,小学教育,教育学,四年,
90,教育学类,040108,特殊教育,教育学,四年,
91,教育学类,040109T,华文教育,教育学,四年,
92,教育学类,040110TK,教育康复学,教育学,四年,2012
93,教育学类,040111T,卫生教育,教育学,四年,2016
94,教育学类,040112T,认知科学与技术,教育学,四年,2018
95,教育学类,040113T,融合教育,教育学,四年,2020
96,教育学类,040114TK,劳动教育,教育学,四年,2021
97,教育学类,040115T,家庭教育,教育学,四年,2022
98,教育学类,040116TK,孤独症儿童教育,教育学,四年,2022
99,体育学类,040201,体育教育,教育学,四年,
100,体育学类,040202K,运动训练,教育学,四年,
101,体育学类,040203,社会体育指导与管理,教育学,四年,
102,体育学类,040204K,武术与民族传统体育,教育学,四年,
103,体育学类,040205,运动人体科学,教育学,四年,
104,体育学类,040206T,运动康复,"理学,教育学",四年,
105,体育学类,040207T,休闲体育,教育学,四年,
106,体育学类,040208T,体能训练,教育学,四年,2017
107,体育学类,040209T,冰雪运动,教育学,四年,2017
108,体育学类,040210TK,电子竞技运动与管理,教育学,四年,2018
109,体育学类,040211TK,智能体育工程,"工学,教育学",四年,2018
110,体育学类,040212TK,体育旅游,教育学,四年,2018
111,体育学类,040213T,运动能力开发,"教育学,理学",四年,2019
112,中国语言文学类,050101,汉语言文学,文学,四年,
113,中国语言文学类,050102,汉语言,文学,四年,
114,中国语言文学类,050103,汉语国际教育,文学,四年,
115,中国语言文学类,050104,中国少数民族语言文学,文学,四年,
116,中国语言文学类,050105,古典文献学,文学,四年,
117,中国语言文学类,050106T,应用语言学,文学,四年,
118,中国语言文学类,050107T,秘书学,文学,四年,
119,中国语言文学类,050108T,中国语言与文化,文学,四年,2016
120,中国语言文学类,050109T,手语翻译,文学,四年,2016
121,中国语言文学类,050110T,数字人文,文学,四年,2022
122,外国语言文学类,050201,英语,文学,"四年,五年",
123,外国语言文学类,050202,俄语,文学,四年,
124,外国语言文学类,050203,德语,文学,四年,
125,外国语言文学类,050204,法语,文学,四年,
126,外国语言文学类,050205,西班牙语,文学,四年,
127,外国语言文学类,050206,阿拉伯语,文学,四年,
128,外国语言文学类,050207,日语,文学,四年,
129,外国语言文学类,050208,波斯语,文学,四年,
130,外国语言文学类,050209,朝鲜语,文学,四年,
131,外国语言文学类,050210,菲律宾语,文学,四年,
132,外国语言文学类,050211,梵语巴利语,文学,四年,
133,外国语言文学类,050212,印度尼西亚语,文学,四年,
134,外国语言文学类,050213,印地语,文学,四年,
135,外国语言文学类,050214,柬埔寨语,文学,四年,
136,外国语言文学类,050215,老挝语,文学,四年,
137,外国语言文学类,050216,缅甸语,文学,四年,
138,外国语言文学类,050217,马来语,文学,四年,
139,外国语言文学类,050218,蒙古语,文学,四年,
140,外国语言文学类,050219,僧伽罗语,文学,四年,
141,外国语言文学类,050220,泰语,文学,四年,
142,外国语言文学类,050221,乌尔都语,文学,四年,
143,外国语言文学类,050222,希伯来语,文学,四年,
144,外国语言文学类,050223,越南语,文学,四年,
145,外国语言文学类,050224,豪萨语,文学,四年,
146,外国语言文学类,050225,斯瓦希里语,文学,四年,
147,外国语言文学类,050226,阿尔巴尼亚语,文学,四年,
148,外国语言文学类,050227,保加利亚语,文学,四年,
149,外国语言文学类,050228,波兰语,文学,四年,
150,外国语言文学类,050229,捷克语,文学,四年,
151,外国语言文学类,050230,斯洛伐克语,文学,四年,
152,外国语言文学类,050231,罗马尼亚语,文学,四年,
153,外国语言文学类,050232,葡萄牙语,文学,四年,
154,外国语言文学类,050233,瑞典语,文学,四年,
155,外国语言文学类,050234,塞尔维亚语,文学,四年,
156,外国语言文学类,050235,土耳其语,文学,四年,
157,外国语言文学类,050236,希腊语,文学,四年,
158,外国语言文学类,050237,匈牙利语,文学,四年,
159,外国语言文学类,050238,意大利语,文学,四年,
160,外国语言文学类,050239,泰米尔语,文学,四年,
161,外国语言文学类,050240,普什图语,文学,四年,
162,外国语言文学类,050241,世界语,文学,四年,
163,外国语言文学类,050242,孟加拉语,文学,四年,
164,外国语言文学类,050243,尼泊尔语,文学,四年,
165,外国语言文学类,050244,克罗地亚语,文学,四年,
166,外国语言文学类,050245,荷兰语,文学,四年,
167,外国语言文学类,050246,芬兰语,文学,四年,
168,外国语言文学类,050247,乌克兰语,文学,四年,
169,外国语言文学类,050248,挪威语,文学,四年,
170,外国语言文学类,050249,丹麦语,文学,四年,
171,外国语言文学类,050250,冰岛语,文学,四年,
172,外国语言文学类,050251,爱尔兰语,文学,四年,
173,外国语言文学类,050252,拉脱维亚语,文学,四年,
174,外国语言文学类,050253,立陶宛语,文学,四年,
175,外国语言文学类,050254,斯洛文尼亚语,文学,四年,
176,外国语言文学类,050255,爱沙尼亚语,文学,四年,
177,外国语言文学类,050256,马耳他语,文学,四年,
178,外国语言文学类,050257,哈萨克语,文学,四年,
179,外国语言文学类,050258,乌兹别克语,文学,四年,
180,外国语言文学类,050259,祖鲁语,文学,四年,
181,外国语言文学类,050260,拉丁语,文学,四年,
182,外国语言文学类,050261,翻译,文学,四年,
183,外国语言文学类,050262,商务英语,文学,四年,
184,外国语言文学类,050263T,阿姆哈拉语,文学,四年,2012
185,外国语言文学类,050264T,吉尔吉斯语,文学,四年,2012
186,外国语言文学类,050265T,索马里语,文学,四年,2013
187,外国语言文学类,050266T,土库曼语,文学,四年,2014
188,外国语言文学类,050267T,加泰罗尼亚语,文学,四年,2014
189,外国语言文学类,050268T,约鲁巴语,文学,四年,2014
190,外国语言文学类,050269T,亚美尼亚语,文学,四年,2015
191,外国语言文学类,050270T,马达加斯加语,文学,四年,2015
192,外国语言文学类,050271T,格鲁吉亚语,文学,四年,2015
193,外国语言文学类,050272T,阿塞拜疆语,文学,四年,2015
194,外国语言文学类,050273T,阿非利卡语,文学,四年,2015
195,外国语言文学类,050274T,马其顿语,文学,四年,2015
