(实体; 物理学类; 专业类; 包含物理学、应用物理学等专业)
(实体关系; 物理学类; 包含; 物理学)
(实体关系; 物理学类; 包含; 应用物理学)
(实体关系; 物理学类; 包含; 核物理)
(实体关系; 物理学类; 包含; 声学)
(实体关系; 物理学类; 包含; 系统科学与工程)
(实体关系; 物理学类; 包含; 量子信息科学)
(实体; 物理学; 专业名称; 专业代码:070201)
(实体; 应用物理学; 专业名称; 专业代码:070202)
(实体; 核物理; 专业名称; 专业代码:070203)
(实体; 声学; 专业名称; 专业代码:070204T)
(实体; 系统科学与工程; 专业名称; 专业代码:070205T)
(实体; 量子信息科学; 专业名称; 专业代码:070206T)
(实体; 教育学类; 专业类; 包含教育学、科学教育等专业)
(实体关系; 教育学类; 包含; 教育学)
(实体关系; 教育学类; 包含; 科学教育)
(实体关系; 教育学类; 包含; 人文教育)
(实体关系; 教育学类; 包含; 教育技术学)
(实体关系; 教育学类; 包含; 艺术教育)
(实体关系; 教育学类; 包含; 学前教育)
(实体关系; 教育学类; 包含; 小学教育)
(实体关系; 教育学类; 包含; 特殊教育)
(实体关系; 教育学类; 包含; 华文教育)
(实体关系; 教育学类; 包含; 教育康复学)
(实体关系; 教育学类; 包含; 卫生教育)
(实体关系; 教育学类; 包含; 认知科学与技术)
(实体关系; 教育学类; 包含; 融合教育)
(实体关系; 教育学类; 包含; 劳动教育)
(实体关系; 教育学类; 包含; 家庭教育)
(实体关系; 教育学类; 包含; 孤独症儿童教育)
(实体; 教育学; 学位授予门类; 包含教育学类专业)
(实体; 教育学; 专业名称; 专业代码:040101)
(实体关系; 教育学; 包含; 教育学类)
(实体关系; 教育学; 包含; 体育学类)
(实体; 科学教育; 专业名称; 专业代码:040102)
(实体; 人文教育; 专业名称; 专业代码:040103)
(实体; 教育技术学; 专业名称; 专业代码:040104)
(实体; 艺术教育; 专业名称; 专业代码:040105)
(实体; 学前教育; 专业名称; 专业代码:040106)
(实体; 小学教育; 专业名称; 专业代码:040107)
(实体; 特殊教育; 专业名称; 专业代码:040108)
(实体; 华文教育; 专业名称; 专业代码:040109T)
(实体; 教育康复学; 专业名称; 专业代码:040110TK)
(实体; 卫生教育; 专业名称; 专业代码:040111T)
(实体; 认知科学与技术; 专业名称; 专业代码:040112T)
(实体; 融合教育; 专业名称; 专业代码:040113T)
(实体; 劳动教育; 专业名称; 专业代码:040114TK)
(实体; 家庭教育; 专业名称; 专业代码:040115T)
(实体; 孤独症儿童教育; 专业名称; 专业代码:040116TK)
